Bus_ID,Month_pur,Year_pur,Month_1st,Year_1st,Odo_1,Month_2nd,Year_2nd,Odo_2,Month_begin,Year_begin,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
4403,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,504.0,2705.0,7345.0,11591.0,16057.0,20796.0,25299.0,29311.0,34621.0,39738.0,42477.0,47038.0,52917.0,57723.0,63005.0,67321.0,72315.0,75145.0,79329.0,83318.0,87139.0,90723.0,93915.0,97306.0,101288.0
4404,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,537.0,570.0,570.0,4699.0,9235.0,13637.0,17366.0,21520.0,25330.0,29111.0,32898.0,37314.0,42512.0,47629.0,52183.0,58300.0,63962.0,67756.0,73190.0,76750.0,82139.0,87215.0,90778.0,95605.0,99782.0
4405,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,508.0,2953.0,7506.0,12056.0,16864.0,20890.0,24925.0,29144.0,33675.0,39164.0,42850.0,48826.0,53828.0,58009.0,63168.0,66932.0,72274.0,77193.0,82443.0,87852.0,92741.0,96007.0,99176.0,103253.0,106585.0
4406,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,525.0,2507.0,5590.0,7905.0,11959.0,15385.0,19142.0,21704.0,25325.0,25748.0,25748.0,26674.0,29321.0,31152.0,34233.0,37480.0,41400.0,44822.0,47244.0,50633.0,54712.0,57620.0,60246.0,62881.0,65643.0
4407,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,586.0,1069.0,5574.0,10279.0,14819.0,18742.0,22962.0,27090.0,32724.0,38393.0,43046.0,46289.0,51053.0,55643.0,59412.0,64405.0,69883.0,74763.0,80394.0,84105.0,86739.0,90150.0,93963.0,97126.0,100022.0
4408,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,575.0,2596.0,7068.0,9552.0,9552.0,9552.0,10589.0,14055.0,18502.0,22910.0,26362.0,31619.0,36302.0,40316.0,46109.0,50127.0,55132.0,59885.0,63437.0,66721.0,69248.0,71968.0,75791.0,79301.0,80777.0
4409,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,504.0,1929.0,6851.0,11176.0,16607.0,22331.0,27372.0,32040.0,38724.0,43782.0,48088.0,52802.0,56899.0,61476.0,67537.0,72579.0,79359.0,84539.0,89747.0,95097.0,100409.0,104848.0,109120.0,114299.0,120151.0
4410,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,524.0,3079.0,7579.0,13139.0,17694.0,21241.0,25864.0,30610.0,36587.0,40674.0,45544.0,50857.0,54946.0,60591.0,65775.0,71554.0,76979.0,80984.0,83764.0,86367.0,90724.0,94355.0,95898.0,98102.0,101423.0
4411,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,517.0,768.0,5623.0,8762.0,13725.0,18064.0,22696.0,28531.0,33920.0,39953.0,43303.0,48642.0,53555.0,58275.0,62317.0,67822.0,73822.0,78016.0,81457.0,86493.0,91128.0,95272.0,97239.0,98837.0,103872.0
4412,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,491.0,1314.0,5558.0,10319.0,15020.0,19582.0,23758.0,28834.0,33527.0,38300.0,43122.0,46587.0,52006.0,55752.0,60709.0,66117.0,71034.0,76996.0,83086.0,87424.0,93754.0,97777.0,100373.0,103421.0,106467.0
4413,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,483.0,1143.0,4874.0,9467.0,14766.0,18992.0,23631.0,29964.0,35342.0,40776.0,43613.0,48229.0,53088.0,56162.0,60175.0,65437.0,70991.0,75425.0,80302.0,84302.0,89370.0,93012.0,96718.0,101220.0,104336.0
4414,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,518.0,2237.0,6609.0,10743.0,14366.0,19245.0,23842.0,27637.0,33156.0,37356.0,40793.0,45311.0,49142.0,53101.0,57286.0,62091.0,66642.0,71118.0,74699.0,78061.0,82123.0,85432.0,88936.0,93554.0,97378.0
4415,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,523.0,3118.0,8248.0,13144.0,17749.0,22804.0,27282.0,31787.0,36950.0,41983.0,45998.0,50748.0,56224.0,60613.0,65944.0,70750.0,76125.0,80916.0,86590.0,91785.0,96065.0,100788.0,105324.0,108428.0,113621.0
4416,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,531.0,940.0,5007.0,9208.0,13323.0,18330.0,23118.0,27032.0,32209.0,36674.0,41660.0,46248.0,50131.0,54981.0,58925.0,64687.0,69503.0,73474.0,79438.0,82675.0,87327.0,92258.0,96790.0,100781.0,106094.0
4417,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,545.0,905.0,5110.0,8941.0,13657.0,17594.0,21170.0,25046.0,28851.0,32405.0,35806.0,39057.0,43719.0,48338.0,53325.0,56927.0,62426.0,66774.0,70233.0,74987.0,78971.0,81774.0,85819.0,90131.0,94311.0
